0,File name,Date,District,Street name,Type,Flow rate (L/min),Secondary purpose?,Year fountain was constructed (if stated),Entry made by:
117,AR_108.JPG,10/27/2023,Arabkir,Kievyan Street,no valve,3.9,No secondary purpose,Unknown,Inga Avetisyan
118,AR_109.JPG,10/27/2023,Arabkir,Kievyan Street,no valve,4.51,No secondary purpose,Unknown,Inga Avetisyan
119,AR_11.JPG,9/30/2023,Arabkir,Kievyan Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
120,AR_110.JPG,10/27/2023,Arabkir,Yerznkian Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
121,AR_111.JPG,10/27/2023,Arabkir,Marshal Baghramyan Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
122,AR_112.JPG,10/27/2023,Arabkir,Aygedzor Street,no valve,8.16,No secondary purpose,Unknown,Inga Avetisyan
123,AR_113.JPG,10/27/2023,Arabkir,Marshal Baghramyan Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
124,AR_114.JPG,10/27/2023,Arabkir,Marshal Baghramyan Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
125,AR_115.JPG,10/27/2023,Arabkir,Aygedzor Street,no valve,7.74,No secondary purpose,Unknown,Inga Avetisyan
126,AR_116.JPG,10/27/2023,Arabkir,Proshyan Street,no valve,5.39,No secondary purpose,Unknown,Inga Avetisyan
127,AR_117.JPG,10/27/2023,Arabkir,Marshal Baghramyan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
128,AR_118.JPG,10/27/2023,Arabkir,Hakob Hakobyan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
129,AR_119.JPG,10/27/2023,Arabkir,Hakob Hakobyan Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
130,AR_12.JPG,9/30/2023,Arabkir,Kievyan Street,no valve,2.7,No secondary purpose,Unknown,Inga Avetisyan
131,AR_120.JPG,10/27/2023,Arabkir,Aram Khachatryan Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
132,AR_121.JPG,10/27/2023,Arabkir,Hakob Hakobyan Street,no valve,4.78,No secondary purpose,Unknown,Inga Avetisyan
133,AR_122.JPG,10/27/2023,Arabkir,Komitas Avenue,no valve,4.64,No secondary purpose,Unknown,Inga Avetisyan
134,AR_123.JPG,10/27/2023,Arabkir,Komitas Avenue,no valve,3.9,No secondary purpose,Unknown,Inga Avetisyan
135,AR_124.JPG,10/27/2023,Arabkir,Komitas Avenue,no valve,7.4,No secondary purpose,Unknown,Inga Avetisyan
136,AR_125.JPG,10/27/2023,Arabkir,Aram Khachatryan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
137,AR_13.JPG,9/30/2023,Arabkir,Hrachya Kochar Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
138,AR_14.JPG,9/30/2023,Arabkir,Hrachya Kochar Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
139,AR_15.JPG,9/30/2023,Arabkir,Hrachya Kochar Street,no valve,5.7,No secondary purpose,Unknown,Inga Avetisyan
140,AR_16.JPG,9/30/2023,Arabkir,Hrachya Kochar Street,no valve,3,No secondary purpose,Unknown,Inga Avetisyan
141,AR_17.JPG,9/30/2023,Arabkir,Hrachya Kochar Street,no valve,10.5,No secondary purpose,Unknown,Inga Avetisyan
142,AR_18.JPG,9/30/2023,Arabkir,Vagharshyan Street,no valve,4.3,No secondary purpose,Unknown,Inga Avetisyan
143,AR_19.JPG,9/30/2023,Arabkir,Aghbyur Serob Street,no valve,6,No secondary purpose,Unknown,Inga Avetisyan
144,AR_2.JPG,9/30/2023,Arabkir,Sose 2nd Lane,no valve,4,No secondary purpose,Unknown,Inga Avetisyan
145,AR_20.JPG,9/30/2023,Arabkir,Vagharshyan Street,no valve,3.5,No secondary purpose,Unknown,Inga Avetisyan
146,AR_21.JPG,10/7/2023,Arabkir,Sose Street,no valve,10,No secondary purpose,Unknown,Inga Avetisyan
147,AR_22.JPG,10/7/2023,Arabkir,Sose Street,no valve,4.8,No secondary purpose,2020,Inga Avetisyan
148,AR_23.JPG,10/7/2023,Arabkir,Gyulbenkyan Street,no valve,3,No secondary purpose,Unknown,Inga Avetisyan
149,AR_24.JPG,10/7/2023,Arabkir,Aram Khachatryan Street,no valve,2.7,No secondary purpose,Unknown,Inga Avetisyan
150,AR_25.JPG,10/7/2023,Arabkir,Aram Khachatryan Street,no valve,0.85,No secondary purpose,Unknown,Inga Avetisyan
151,AR_26.JPG,10/7/2023,Arabkir,Aram Khachatryan Street,with a broken valve,4.8,No secondary purpose,Unknown,Inga Avetisyan
